,lyric,famous_word,total_words,percent_originality,genre
400,cê tá louca mano ser louca desse jeito mano cê tá esquecendo tudo casa mano cê esqueceu cê esqueceu blusa aqui mano mano cê esqueceu blusa aqui cê esqueceu caderno aqui ow cê esqueceu ow daqui pouco vai esquecer pepeca aqui mano esquece grudada grudada meio corpo pepeca sai andando mano mano maconha cê tá fumando mano bagulho doido mano cê tá fumando piroca possível lembrete an an senta cacete quica cacete rebola cacete vai sarra cacete an an aprendestes senta cacete quica cacete rebola cacete an an aprendestes senta cacete quica cacete rebola cacete an an aprendestes então senta cacete quica cacete rebola cacete tá esquecida pra caralho novinha xerecuda mlan novamente combatendo esquecimento xerecuda an ow mina ver namoro caralho tá maluca cê vai ficar esquecendo blusa aqui esquecendo caderno aqui mano mina ver caderno caderno lan ah sei vou vou falar vou falar vou falar filha vou ter perguntar pra aprendestes então senta cacete quica cacete rebola cacete an an aprendestes senta cacete quica cacete rebola cacete an an aprendestes senta cacete quica cacete rebola cacete an an aprendestes senta cacete quica cacete rebola cacete an an aprendestes senta cacete quica cacete rebola cacete an an quase saí batida tô esquecido bagulho esquecestes,cacete,206,33.5,funk
401,iniciei jornada momento exato quer saber mim desvia transformo canção biografia pega papel caneta pra anotar pra bico faço bico tiro foto celular chama feia estouro likes engano mc tati zaqui cuido tudo conquistei prezo todas pessoas espaço ganhei compro letras próprias expressões própria mente atinjo vários corações olha digo nada fácil nada maior esforço tudo faço aquariana fevereiro nasci dia força guerreiro visto quiser canto faz bem música gosto estilo ahhh pra tô swag tô chave quiser meto dread junto boti nike guiada deus fé tá comigo canto quiser comigo vier contra puder contra puder iniciei jornada momento exato quer saber mim devia transformo canção biografia pega papel caneta pra anotar pra bico faço bico tiro foto celular chama feia estouro likes engano mc tati zaqui cuido tudo conquistei prezo todas pessoas espaço ganhei compro letras próprias expressões própria mente atinjo vários corações olha digo nada fácil nada maior esforço tudo faço aquariana fevereiro nasci dia força guerreiro visto quiser canto faz bem música gosto estilo ahhh pra tô swag tô chave quiser meto dread junto boti nike guiada deus fé tá comigo canto quiser comigo vier contra puder contra puder,pra,192,43.75,funk
402,partiu coração ai coração amor problema pode ser então quê quê pedacim esquema pedacim partiu coração ai coração amor sinta pena agora vai sobrar então safadão safadão pedacim pra cada esquema pedacim,coração,32,59.38,funk
403,bem querer bom ver ruim falta faz hoje ta volta pra mostrar capaz hoje ta volta pra mostrar capaz hoje ta volta pra mostrar capaz capaz capaz cai bunda fica rebola vai cai bunda fica rebola vai cai bunda fica rebola vai cai bunda fica rebola vai tá demais oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai bem querer bom ver ruim falta faz hoje ta volta pra mostrar capaz hoje ta volta pra mostrar capaz hoje ta volta pra mostrar capaz capaz capaz cai bunda fica rebola vai cai bunda fica rebola vai cai bunda fica rebola vai cai bunda fica rebola vai tá demais oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai oh vai,vai,146,14.38,funk
404,inimigo serpente perverso traidor maligno anti cristo verme impostor traiu conspirou vai pagar traiu vai pagar fé deus traiu vai pagar fé deus judaria fizeram mano judaria fizeram mano traiu vai pagar fé deus traiu vai pagar fé deus judaria fizeram mano judaria fizeram mano to bolado cheio ódio coração judaria fizeram irmão moleque puro braço guerreiro fiel hoje junto deus guerreando céu ironia vida mano assim nunca sabe hora certa vai ser fim infelizmente cara bom embora amigos família hoje choram bonde todo revoltado mando fizeram vai ter volta pode acreditar traiu vai pagar fé deus traiu vai pagar fé deus judaria fizeram mano judaria fizeram mano traiu vai pagar fé deus traiu vai pagar fé deus judaria fizeram mano judaria fizeram mano x inimigo serpente perverso traidor maligno anti cristo verme impostor traiu conspirou vai pagar by lucienne bittencourt,vai,141,43.26,funk
405,vida ter hyundai hornet mil pra gastar leco leque juliet melhores kits vários investimentos ai bom ser top momento vida ter hyundai hornet mil pra gastar leco leque juliet melhores kits vários investimentos ai bom ser top momento chega final semana dia praia noite balada então pegue gascan oakley portando pesado ouro pesado prata ser zika baile mandar freestyle mlk pentelho pescoço novinhas entorta pro zika porta usa aparelho ostentação quer luxo vai ter viu bonde embrasar r sente ronco xt rolé nois ta santa fé ta sol nois ta repsol porque rei balada pelé rei futebol juliet romeu ferrari doce gabanna jeito ruim gosta malote apaixona então vida ter hyundai hornet mil pra gastar leco leque juliet melhores kits vários investimentos ai bom ser top momento vida ter hyundai hornet mil pra gastar leco leque juliet melhores kits vários investimentos ai bom ser top momento vida luxo chega final semana dia praia noite balada então pegue gascan oakley portando pesado ouro pesado prata ser zika baile mandar freestyle mlk pentelho pescoço novinhas entorta pro zika porta usa aparelho ostentação quer luxo vai ter viu bonde embrazar r sente ronco xt rolé nois ta santa fé ta sol nois ta repsol porque rei balada pelé rei futebol juliet romeo ferrari doce gabanna jeito ruim gosta malote apaixona então vida ter hyundai hornet mil pra gastar leco leque juliet melhores kits varios investimento ai bom ser top momento vida luxo,vida,239,34.31,funk
406,ah descontroladas ah descontroladas sobe desce dá rodada descontroladas sobe desce dá rodada descontroladas chão vai vai paradinha paradinha paradinha paradinha paradinha paradinha paradinha paradinha paradinha vai vai descontroladas vai vai descontroladas ah descontroladas ah descontroladas sobe desce dá rodada descontroladas sobe desce dá rodada descontroladas chão vai vai paradinha paradinha paradinha paradinha paradinha paradinha paradinha paradinha paradinha vai vai descontroladas vai vai descontroladas ah descontroladas ah descontroladas sobe desce dá rodada descontroladas sobe desce dá rodada descontroladas chão vai vai paradinha paradinha paradinha paradinha paradinha paradinha paradinha paradinha paradinha,paradinha,90,10.0,funk
407,ta querendo faz mó tempão mó tempão chamo whats mozão romance oi pode chamar yuri martins vou dar atenção pode chamar yuri martins vou dar atenção pode chamar yuri martins vou dar atenção então bunda empina empurro toda pressão então bunda empina empurro toda pressão pode chamar yuri martins vou dar atenção ta querendo faz mó tempão mó tempão chamo whats mozão romance oi pode chamar yuri martins vou dar atenção pode chamar yuri martins vou dar atenção pode chamar yuri martins vou dar atenção yuri quer ignorar yuri quer ignorar logo logo atenção pra ninguém logo logo atenção pra ninguém logo logo logo logo porque yuri martins ficou amiga porque gostosa ai quer ficar falando mal né chama amiga nojenta an an logo chupa onde senta an an chama amiga nojenta an an logo chupa onde senta an an chama amiga nojenta an an logo chupa onde senta an an ta querendo faz mó tempão mó tempão chamo whats mozão romance oi pode chamar yuri martins vou dar atenção pode chamar yuri martins vou dar atenção pode chamar yuri martins vou dar atenção então bunda empina empurro toda pressão então bunda empina empurro toda pressão pode chamar yuri martins vou dar atenção ta querendo faz mó tempão mó tempão chamo whats mozão romance oi pode chamar yuri martins vou dar atenção pode chamar yuri martins vou dar atenção pode chamar yuri martins vou dar atenção yuri quer ignorar yuri quer ignorar logo logo atenção pra ninguém logo logo atenção pra ninguém logo logo logo logo porque yuri martins ficou amiga porque gostosa ai quer ficar falando mal né chama amiga nojenta an an logo chupa onde senta an an chama amiga nojenta an an logo chupa onde senta an an chama amiga nojenta an an logo chupa onde senta an an,an,302,14.24,funk
408,u ui ui ui oi oi oi oi quero iludir falo porque gosta escutar hora amor falo vou casar quer fidelidade arruma cachorro quer romance compra livro quer amor volta morar pais mulher pentada violenta pentada violenta pentada violenta pras sapequinhas preparadas arrebenta pentada violenta pentada violenta pentada violenta hora amor luan arrebenta pentada pentada pentada pentada pentada pentada pentada violenta,pentada,61,50.82,funk
409,foda música tá tocando tá dançando fica olhando quer dar pro pai foda música tá tocando tá dançando fica olhando então vai fuma gold som costa encosta gente sarra costa mina maneira brisa acaba vai vai fica quente sensualiza daora deixa todo mundo pousado foda presta atenção mina faz faz foda música tá tocando tá dançando fica olhando quer dar pro pai foda música tá tocando tá dançando fica olhando então vai,tá,72,47.22,funk
410,louca bala ta tendo alucinação louca bala ta tendo alucinação bum bum bum bum bum grave bunda pra cima bum grave bunda chão x bum bum bum ooh chão aqui fiz pras novinhas ja ta onda desafia amigas envolve dança vai bum bum bum bum vem bum bum bum bum bum bum bum ooh vai bum bundona vem bum bunda balança vai bum bundona vem bum bunda balança vai bum bum bum bum bum vem bum bum bum bum bum bunda balança bum ooh bum bum ooh chão bum pra cima bum pra chão,bum,94,28.72,funk
411,difícil pra acreditar cara bacana gente briga vê ama então esquece logo vem tudo aqui pra cama difícil pra acreditar cara bacana gente briga vê ama então esquece logo vem tudo aqui pra cama ama amor cara vendo problemático pouco ciumento sabe foda cama ama x,pra,46,52.17,funk
412,pretinha vou confessar hora olhou olhei duas horas fiquei admirando som tava ali groove tava alto pra gente curtir minas cochicharam percebi percebi tava querendo questão tempo questão chance pra acontecer virar logo romance beijo conquistou penso nele cada instante sorriso contagioso alegria viciante parece coisa novela olha pro outro vê sentado cama pensamento vai nela coisa estranha loucura pampa passava rua dava bola toda simplesinha quieta indo pra escola cabelo arrumado sapato fechado sempre soube rebolado pretinha vou confessar hora olhou olhei duas horas fiquei admirando som tava ali groove tava alto pra gente curtir minas cochicharam percebi percebi querendo sai pra night toda elegante pra curtir baile charme mina zero sucessagem passa sorridente linda cidade olhou pra mim vi falou baixinho pra escutar fez suspense pra imaginar gente pegando gostoso aqui tá bom boa curte sensação vem alma vem coração visão mano vem cá menina entra vibe casa tira roupa fica nua levo pro céu educado algumas horas fico safado amigas comentaram esculacho pode vir amar bem garanto quieta nada adoro estilo abusada cheia encanto pretinha vou confessar hora olhou olhei duas horas fiquei admirando som tava ali groove tava alto pra gente curtir minas cochicharam percebi percebi tava querendo pretinha vou confessar hora olhou olhei duas horas fiquei admirando som tava ali groove tava alto pra gente curtir minas cochicharam percebi percebi querendo,pra,226,58.41,funk
413,vou pro baile vou pro baile calcinha agora piranha ninguém vai segurar daquele jeito calcinha vou pro baile procurar negão vou subir palco som tamborzão cachorrona late vou passar agora piranha ninguém vai segurar dj aumenta som local trepa trepa esculacho mina complexo mirante muro esquina primeira cansa vou falar novo aqui piroca boa bota tudo ovo ai vai ahhh ai piroca boa bota tudo ovo gaiola popozudas agora vai fala pra brincam xereca dou chá cu brincam xereca dou chá cu calcinha calcinha calcinha agora piranha ninguém vai segurar daquele jeito calcinha vou pro baile procurar negão vou subir palco som tamborzão cachorrona late vou passar agora piranha ninguém vai segurar dj aumenta som uh local trepa trepa esculacho mina complexo mirante muro esquina primeira cansa vou falar novo ai piroca boa bota tudo ovo ai vai ahh ai piroca boa bota tudo ovo queria andar linha deu valor agora sento soco soco faço filme pornô calcinha calcinha calcinha calcinha,vou,161,39.13,funk
414,vida louca louco vou embalo vida hoje pura vitalidade tudo bem amanhã cheque mate fim linha oh mãe capacidade premonição deus avisava coração agora chegada hora vou levar irmão embora tão triste vida sofre amar corpo alma coração mãe sofrendo filho filha chorando perda irmão dia pessoa querida vai embora coração chora chora louco vai vem lembranças vontade ir embora imaginem agora surdo mudo dentro baile funk dançando todo mundo encher olhos corações embalado compasso vibrações infelizmente embora lá cima decretaram hora coração ama chora chora chora vida louca mano nela todos passagem tá tranqüilo irmão tá deus tá seguro saudade bate coração quer explodir fecho olhos lá sonhos vem prá matar saudade além transmitiu mensagem avisa bem sendo biológico pai vi lágrimas rolarem daquele criou vida esperança paz sony amenizador queria poder entender pancadões pedia pra irmã fazer traduções agora outro lado entende recado sobrinho queria vai poder ver fotografia dia pessoa querida vai embora coração chora chora louco vai vem lembranças vontade ir embora imagine agora surdo mudo dentro baile funk dançando todo mundo encher olhos corações embalado compasso vibrações infelizmente embora lá cima decretaram hora coração ama chora chora chora,chora,193,60.1,funk
415,quero ser feliz andar tranquilamente favela onde nasci poder orgulhar ter consciência pobre lugar fé deus dj quero ser feliz andar tranquilamente favela onde nasci poder orgulhar ter consciência pobre lugar quero ser feliz feliz feliz feliz feliz onde nasci han poder orgulhar ter consciência pobre lugar cara autoridade sei fazer tanta violência sinto medo viver pois moro favela desrespeitado tristeza alegria aqui caminham lado lado faço oração santa protetora interrompido tiros metralhadora enquanto ricos moram casa grande bela pobre humilhado esculachado favela aguento onda violência peço autoridade pouco competência quero ser feliz andar tranquilamente favela onde nasci han poder orgulhar ter consciência pobre lugar quero ser feliz feliz feliz feliz feliz onde nasci poder orgulhar ter consciência pobre lugar diversão hoje dia podemos pensar pois lá bailes vem humilhar fica lá praça tudo tão normal agora virou moda violência local pessoas inocentes nada ver perdendo hoje direito viver nunca vi cartão postal destaque favela vejo paisagem linda bela vai pro exterior favela sente saudade gringo vem aqui conhece realidade vai pra zona sul pra conhecer água côco pobre favela vive passando sufoco trocaram presidência nova esperança sofri tempestade agora quero abonança povo força precisa descobrir lá fazem nada faremos tudo daqui quero ser feliz andar tranquilamente favela onde nasci poder orgulhar ter consciência pobre lugar quero ser feliz feliz feliz feliz feliz onde nasci han poder orgulhar pobre lugar diversão hoje dia pensar pois lá bailes vem humilhar fica lá praça tudo tão normal agora virou moda violência local pessoas inocentes nada ver perdendo hoje direito viver nunca vi cartão postal destaque favela vejo paisagem linda bela vai pro exterior favela sente saudade gringo vem aqui conhece realidade vai pra zona sul pra conhecer água côco pobre favela passando sufoco trocada presidência nova esperança sofri tempestade agora quero abonança povo força precisa descobrir lá fazem nada faremos tudo daqui quero ser feliz andar tranquilamente favela onde nasci poder orgulhar ter consciência pobre lugar quero ser feliz feliz feliz feliz feliz onde nasci han poder orgulhar ter consciência pobre lugar poder orgulhar ter consciência pobre lugar,feliz,346,34.39,funk
416,coração ouro prova chumbo estoura champanhe vamos molhar todo mundo chama gatinhas deixa vontade vem curtir smith amanhã pode ser tarde ódio amor caminham lado lado atire primeira pedra nunca pecado faça barreira atrasar caminho porque fé deus sozinho temesse morte saía quarto iria viver dormindo morrer acordado vida eterno coma tô cti acordar dia arriscado explodir sonho pesadelo disputando mente camaro ca inveja tanta gente consumir mil ostentar centenas rasgar céu nave mandar beijo problema patricinha cheia marra namora playboy pergunta querem vão gritar desde moleque chamado mal elemento cara ninguém conhece dentro,lado,94,98.94,funk
417,aê rapaziada bdl liga nova oi casa senta pica dá rebolada pra poder conquistar dá mamada senta força cima caralho representa dia noite pé deitada menina catorze ô mulher vou comer buceta conquista sei tá tesão porque cuzinho pisca papo reto vê liga empina bunda bato cara chamo vagabunda planto semente dentro recompensa vem logo após lá vinte anos dá cuzinho pa nóis tô certo tô ecko liga aí novinha semente falo semente putaria vou fazer neném vou botar cabeça vai sofá vai colchão cima mesa quantas vezes consegui levar céu sentiu gostinho piroca mel vou gozar vou gozar sim chupo grelo rasgo cuzinho tá tesão neguinho balança cu bem devagarinho tá tá tá assim tá tesão vem cima fogão tá tesão neguinho balança cu bem devagarinho tá tá hein caralho oi casa senta pica dá rebolada pra poder conquistar dá mamada senta força cima caralho representa dia noite pé deitada menina catorze ô mulher vou comer buceta conquista sei tá tesão porque cuzinho pisca papo reto vê liga empina bunda bato cara chamo vagabunda planto semente dentro recompensa vem logo após lá vinte anos dá cuzinho pa nóis tô certo tô ecko liga aí novinha semente falo semente putaria vou fazer neném vou botar cabeça vai sofá vai colchão cima mesa quantas vezes consegui levar céu sentiu gostinho piroca mel vou gozar vou gozar sim chupo grelo rasgo cuzinho tá tesão neguinho balança cu bem devagarinho tá tá tá assim rabão vem cima fogão tá tesão neguinho balança cu bem devagarinho tá tá tá assim rabão vem cima fogão,tá,260,36.92,funk
418,vou abrir porta pra sair pode ir quer ir fique ciente assim sair melhor amiga vai vim cuidar mim bem tentei dar valor preferiu caô bem tentei dar amor preferiu caô nessas horas amiga aproveitou veio sentou nessas horas amiga aproveitou veio mamou nessas horas amiga aproveitou veio sentou mamou deixou né abandonou então tá deixou né abandonou então tá vou colar imperador lá várias pra dar vou colar zona norte vou comer todas lá vou colar lá capão lá várias pra dar bem tentei dar valor preferiu caô bem tentei dar amor preferiu caô nessas horas amiga aproveitou veio sentou nessas horas amiga aproveitou veio mamou nessas horas amiga aproveitou veio sentou deixou né abandonou então tá deixou né abandonou então tá vou colar imperador lá várias pra dar vou colar zona norte vou comer todas lá vou colar lá capão lá várias pra dar bem tentei dar valor preferiu caô bem tentei dar amor preferiu caô,dar,158,27.85,funk
419,mãos alto novinha mãos alto novinha hoje tá presa hoje tá presa mãos alto novinha mãos alto novinha hoje tá presa hoje tá presa agora vou falar direitos direito sentar direito quicar direito sentar quicar rebolar direito ficar caladinha fica caladinha fica caladinha agora desce desce ai novinha desce ai novinha mãos alto novinha mãos alto novinha hoje tá presa hoje tá presa mãos alto novinha mãos alto novinha hoje tá presa hoje tá presa agora vou falar direitos direito sentar direito quicar direito sentar quicar rebolar direito ficar caladinha fica caladinha fica caladinha agora desce desce ai novinha desce ai novinha,novinha,102,18.63,funk
420,aí otário porque conseguiu foder comigo agora quer ficar difamando né então liga papo papo mando vou dar papo vê gracinha dou pra quiser porra boceta porra boceta porra liga papo papo mando porque dei pra quer ficar exclamando agora amigo vai tocar punhetinha porque dou pra quiser porra boceta porra porra boceta porra boceta porra vo dar papo vê gracinha pra quiser porra boceta porra boceta porra liga papo papo mando porque dei pra quer ficar exclamando agora amigo vai tocar punhetinha porque dou pra quiser boceta porra boceta porra,porra,91,34.07,funk
421,hummm gostosinho pára pára vai dar ruim ai deus vai dar ruim vai dançando vai dançando vai dançando vai dançando vai neguinho vai neguinho vai neguinho vai neguinho vai dançando vai dançando vai dançando vai dançando vai dançando vai dançando passinho pianinho salto divando noite nego vai dar ruim juntei pretinhas bonde vai dar ruim passa visão baile hoje vaaaaii dar ruim veeem pianinho,vai,64,39.06,funk
422,mgw ae pierre mpierre aí gw tranquilo mgw normal tá onde mpierre tô saindo aqui budegas bar tô indo lá pro vitrine show mgw então aí vou colar vitrine show tromba '' lá demorou mpierre valeu tromba lá parceiro demorou tá maluca achando bobo ô mulher quer mentir pra mentiroso ô mulher quer mentir pra mentiroso ô mulher quer mentir pra mentiroso falou ia dormir tá querendo enganar avistei camarote pista tá tá tá bebendo perdendo tá achando bobo ô mulher quer mentir pra mentiroso x tá descendo tá subindo rebolando corpo todo ô mulher quer mentir pra mentiroso x sentando desse jeito tá delícia tá gostoso tá olhando pro dj tá achando bobo pierre mexe mete ae tá gostoso ô mulher quer mentir pra mentiroso x,tá,127,48.82,funk
423,rapazes dvigairadoiçbcom atenção todos dever ddar mulheres carinho afeição lindas mundo donas coração ssomos meigos p'relas dao tudo tudo toddedicação refrão selas querum abraço beijinho pimbnós pimbselas quermuito amor carinho pimbnós pimbselas querum encosto maneirnós pimbnós pimbselas querà noitinhbrincadeirnós pimbnós pimbelas tudo p'rnós mdigqunão dlhes dar amor nuncnuncas deixar sós consolar coração apaixonadas dedicadas rapaziadconvém quelas sintqupor amadas,pimbnós,58,81.03,funk
424,sabe tava lembrando dias daquela menina tempos via engraçado retrato deixei pendurado parede quarto lembrei daquele sorriso contagia daquele olhar hipnotiza aí caiu ficha linda linda ser pra sempre linda linda ser pra sempre dois lados coração acaso separou ironia distância fortificou hoje lembrei pra mim clichê bate peito vontade imensa dizer deixei guardado retrato pendurado quarto pra todo dia declaro fato vejo graça outros abraços caminho longe passos tá dificultado aprendizado perdendo gente ganhar tempo deu tempo pro poema decorar agora falta encontrar pra poesia recitar aprendizado perdendo gente ganhar tempo deu tempo pro poema decorar agora falta encontrar pra poesia recitar linda linda ser linda pra sempre vai ser porque linda ser pra sempre,linda,116,62.93,funk
425,tô fome quero leite assumo pipoca sacode quero croquete maionese apresento larica mulekes vezes ganho salgado quero refri tá gelado traumatizado engasgado favor dá refri tô entalado tô fome quero leite assumo pipoca sacode quero croquete maionese apresento larica mulekes dá batata ovo frito porque fome tá maior mendigo quero x bacon sincero quentinho refri mistério misto quente chapa quente curte dá pra mim corto dente insistente persistente dá lanche porque senão fico doente x tô fome quero leite assumo pipoca sacode quero croquete maionese apresento larica mulekes filé frango empanado fritinho prato acabo tô insônia vivo acordado tô fome durmo tô lascado tô fome quero leite assumo pipoca sacode quero croquete maionese apresento larica mulekes zona norte zona leste zona sul caldinho feijão número ô dona vera deu polenta roubo ninguém porque consciência tô fome quero leite assumo pipoca sacode quero croquete maionese apresento larica mulekes,quero,147,50.34,funk
426,tudo pronto casa liberada churrasco narga piscina bebida pra acabar tão bem louco skank espalha uns fumando palha perto bandida pra mostrar vou ali gata vou lá tô sossegado sim partiu vou privar vou ali gata vou lá tô sossegado sim partiu vou privar loucura dentro desse quarto bicho miserável dividi gata pra gozar loucura dentro desse quarto bicho miserável dividi gata pra gozar loucura dentro desse quarto bicho miserável dividi gata pra gozar loucura dentro desse quarto bicho miserável dividi gata pra gozar,pra,84,45.24,funk
427,vou falar sentimento prazer amor vezes traz alegria vezes pode trazer dor né vezes cúpido erra acerta lugar errado flecha vish erra mó treta cúpido faz mó confusão cabeça deixa faz cabeça ficar confusa vezes cúpido acerta vezes usa vezes abusa mente faz coração ás vezes fica carente traz repente alguém diferente sei lá gente confunde amor famoso gostar amor junção querer precisar então vai calma antes arriscar vezes pressa amar pode prejudicar ai vai machucar vou falar sentimento prazer amor vezes traz alegria vezes pode trazer dor entregar pra alguém vai calma entregar vez pode fazer mal pra alma entregar vez pode fazer mal pra alma inspiração canção lágrima tom cor dor sentimento amor palavras fiz contra vento pensando todo momento refletindo onde porquê dia dia posso vê disse ensinou velho senhor sentimento bonito existe amor existem pessoas amar sempre pra junto ficar sofrer gente sofre doer claro doí castelos derrubados novo gente constrói sofrer gente sofre construir pode ser quero construir algo vou falar sentimento prazer amor vezes traz alegria vezes pode trazer dor entregar pra alguém vai calma entregar vez pode fazer mal pra alma entregar vez pode fazer mal pra alma,vezes,195,52.82,funk
428,desde pequeno corre levanta via menor podia imaginar nasceu vagabundo disposição questão tempo tudo tá mão aprendeu ter paz guerrear respeito compra conquistar logo toda zona norte nome ecoou considerado admirado reinou braços mina conheceu amor parceira conselheira ensinou desde mundo mundo existe dor jesus pregado cruz porque confiou judas irmão adorava guardava coração judas sempre invejou poucos podem chegar onde chegou x todo frente lado todos dessa bateria considerado gerente braço forte cotidiano enfrentava morte guerreando odiado onde passou pois agia covardia morador pior maldade vim chamou uns camaradas disse assim outro lá tá devagar demais morre nóis vai tomar poder mulher vier junto tanto faz menos atender vou chamar dar papo caô aperta boldo pra nois dois fuma beija rosto demoro sinal tudo vem pega mano premonição falou pra mina tô querendo trabalhar vou deixar tudo pros praceiros ai então gente recomeça vida outro lugar dia mina profetizou bíblia beijo vendeu jesus guerreiro voltou encontre paz siga caminho luz judas irmão adorava guardava coração judas sempre invejou poucos podem chegar onde chegou x desde mundo mundo existe dor jesus pregado cruz porque confio logo toda zona norte nome ecoou poucos podem chegar onde chegou x,mundo,197,74.62,funk
429,baile encostei menina avistei então vem satisfaz novinha satisfaz novinha satisfaz vai vai vai rebolando pra frente vai vai vai vai rebolando pra trás vai vai vai vai rebolando pra frente vai vai vai vai rebolando pra trás baile encostei menina avistei então vem satisfaz novinha satisfaz novinha satisfaz vai vai vai rebolando pra frente vai vai vai vai rebolando pra trás vai vai vai vai rebolando pra frente vai vai vai vai rebolando pra trás baile encostei menina avistei então vem satisfaz novinha satisfaz novinha satisfaz vai vai vai rebolando pra frente vai vai vai vai rebolando pra trás vai vai vai vai rebolando pra frente vai vai vai vai rebolando pra trás baile encostei menina avistei então vem satisfaz novinha satisfaz novinha satisfaz vai vai vai rebolando pra frente vai vai vai vai rebolando pra trás vai vai vai vai rebolando pra frente vai vai vai vai rebolando pra trás,vai,152,8.55,funk
430,créu créu nelas créu créu nelas vambora vamo '' vambora vamo '' prá dança créu ter disposição prá dança créu ter habilidade pois dança mole venho lembrar velocidades x primeira devagarzinho aprendizado assim oh créeeeu x ligou novo crééééu x número créu créu créu créu créu créu continua fácil né novo créu créu créu créu créu créu número créu créu créu créu x tá ficando dificil hein créu créu créu créu x agora quero ver créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu tá aumentando mané créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu segura dj vou confessar consigo número dj velocidade cinco dança créu créu créu créu créu créu créu créu créu x hahahahaha créu créu créu créu créu créu créu créu x prá dança créu ter disposição prá dança créu ter habilidade pois dança mole venho lembrar velocidades x primeira devagarzinho aprendizado assim oh créeeeu x ligou novo crééééu x número créu créu créu créu créu créu continua fácil né novo créu créu créu créu créu créu número créu créu créu créu x tá ficando dificil hein créu créu créu créu x agora quero ver créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu tá aumentando mané créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu créu segura dj vou confessar consigo número dj velocidade cinco dança créu créu créu créu créu créu créu créu créu x hahahahaha créu créu créu créu créu créu créu créu x áhahahahahaa,créu,295,15.93,funk
431,sabe bem pode ter falha cada sabe risco corre sobreviver nessa vida nao mole bagulho endoida mata morre ter diciplina levar papo sempre blindão ta escrito mandamento aqui irmao defende irmão favor muleque ve entende mente faz crime nao crime faz mente vaicilação viagem passagem so ida mancanda nao volta acaba pagando propia vida pior cego nao quer ver voce insiste nao entender aqui so pode ser judaria aqui so cai faz onde execução castigo pra volta sujeito homem vacila vacila foda mundo gira vacilão roda vacila vacila foda lugar vacilao cheirando la desova x,nao,95,77.89,funk
432,hoje tropa tá pesada enrolação mão joelho vão descendo chão linha rebelde abusada noite tanto faz perfume deixa rastro vêm atrás vê desacredita capaz cheia malícia peça pra parar ah ah ah ah ah peça pra parar ah ah ah ah ah abusada ah ah ah ah ah peça pra parar ah ah ah ah ah rebelde abusada peça pra parar abusada peça pra parar peça peça rebelde abusada hoje tropa tá pesada enrolação mão joelho vão descendo chão linha rebelde abusada noite tanto faz perfume deixa rastro vêm atrás vê desacredita capaz cheia malícia peça pra parar ah ah ah ah ah peça pra parar ah ah ah ah ah abusada ah ah ah ah ah peça pra parar ah ah ah ah ah rebelde abusada peça pra parar peça peça abusada peça pra parar abusada rebelde abusada peça pra parar peça abusada peça pra parar peça peça rebelde abusada,ah,151,19.87,funk
433,tumba tumba tumba faraó saiu tumba faraó saiu tumba mão queixo mão queixo mão queixo mão queixo faraó saiu tumba tó tó tó tó passinho faraó faraó saiu tumba faraó saiu tumba faraó saiu tumba faraó saiu tumba tá travado tocar piano passinho faraó passinho romano tó tó tó tó passinho faraó,tumba,52,23.08,funk
434,oh oh oh oh oh oh oh oh totalmente demais oh oh oh oh oh oh oh oh linda neném sexo sexo namora sempre gay nexo faz tão sexy gay rock'n'roll prá jazz transou hi life society bancando jogo alto esperta ninguém vai boa dá bem lua cheia tá doida apaixonada sei agitou broto pensou curtiu prá relaxar totalmente demaaaais totalmente demais demaaaaais totalmente demaaaais sabe sempre faz avião dá bem pensa problema problema faz sexo bem carro ano broto lindo corpo tapete tipo vôa toda fina modelito design pinta hello dá bye bye cheque novinho adora gastar transou rolling stone canadá fazendo manha bancando jogo mulher '' totalmente demaaaais totalmente demais demaaaais x totalmente demais totalmente demais totalmente demaaaais totalmente demais totalmente demais totalmente demaaaais oh oh oh oh oh oh oh oh totalmente demais oh oh oh oh oh oh oh oh totalmente demais,oh,146,49.32,funk
